CP,region,code,Local_athority,S Ref E,S Ref N,S Ref Latitude,S Ref Longitude,Road,Road.Name,RCat,CP.Location
941692,East of England,NULL,Luton,510544,221929,51.88497274,-0.395274907,C,NULL,CU,NULL
941693,East of England,NULL,Luton,508957,222538,51.89075815,-0.418131266,C,NULL,CU,NULL
941696,East of England,NULL,Luton,507252,222269,51.88867081,-0.442980546,U,NULL,UU,NULL
941700,East of England,NULL,Luton,507318,222644,51.89202845,-0.441905363,U,NULL,UU,NULL
941702,East of England,NULL,Luton,506337,224853,51.91206981,-0.455474482,U,NULL,UU,NULL
941704,East of England,NULL,Luton,509020,222287,51.88849,-0.417295425,U,NULL,UU,NULL
941708,East of England,NULL,Luton,504155,224013,51.90493198,-0.487438089,U,NULL,UU,NULL
941710,East of England,NULL,Luton,507076,222141,51.8875542,-0.445576586,U,NULL,UU,NULL
941712,East of England,NULL,Luton,504290,223915,51.90402596,-0.485506129,U,NULL,UU,NULL
941714,East of England,NULL,Luton,511396,224022,51.9036137,-0.382225802,U,NULL,UU,NULL
941715,East of England,NULL,Luton,508961,221875,51.8847987,-0.418282356,U,NULL,UU,NULL
941716,East of England,NULL,Luton,505698,226103,51.92342579,-0.464377435,U,NULL,UU,NULL
941718,East of England,NULL,Luton,512656,222335,51.88819924,-0.364469872,U,NULL,UU,NULL
941720,East of England,NULL,Luton,505543,224214,51.90647758,-0.467208749,U,NULL,UU,NULL
941722,East of England,NULL,Luton,509493,222093,51.88665384,-0.410486876,U,NULL,UU,NULL
941724,East of England,NULL,Norfolk,622319,294230,52.50062555,1.274009357,B1527,NULL,BR,NULL
941726,East of England,NULL,Norfolk,630242,318650,52.71648479,1.407505723,B1354,NULL,BR,NULL
941728,East of England,NULL,Norfolk,597622,296952,52.5345664,0.912305948,B1077,NULL,BR,NULL
941730,East of England,NULL,Norfolk,604132,320182,52.74070958,1.022497843,B1147,NULL,BR,NULL
941732,East of England,NULL,Norfolk,614395,323833,52.76951148,1.176667189,B1145,NULL,BR,NULL
941734,East of England,NULL,Norfolk,604021,306202,52.61525034,1.012203635,B1135,NULL,BR,NULL
941736,East of England,NULL,Norfolk,583726,306233,52.62276796,0.712824802,B1077,NULL,BR,NULL
941737,East of England,NULL,Norfolk,553176,299565,52.57234194,0.25883348,B1094,NULL,BR,NULL
941738,East of England,NULL,Norfolk,604088,280965,52.38865879,0.997728235,B1113,NULL,BR,NULL
941740,East of England,NULL,Norfolk,598453,287421,52.44869288,0.918865689,B1111,NULL,BR,NULL
941742,East of England,NULL,Norfolk,601484,342279,52.94007027,0.996966339,B1156,NULL,BR,NULL
941744,East of England,NULL,Norfolk,589181,333000,52.86123224,0.808729914,B1355,NULL,BR,NULL
941746,East of England,NULL,Norfolk,607059,322303,52.75863705,1.067128075,B1145,NULL,BR,NULL
941748,East of England,NULL,Norfolk,599318,284082,52.41839987,0.929586301,B1111,NULL,BR,NULL
941750,East of England,NULL,Norfolk,596182,300715,52.56887217,0.893327005,B1108,NULL,BR,NULL
941754,East of England,NULL,Norfolk,612270,302284,52.57692261,1.131346422,B1172,NULL,BR,NULL
941758,East of England,NULL,Norfolk,598254,316486,52.70971318,0.933320447,B1146,NULL,BR,NULL
941759,East of England,NULL,Norfolk,569501,329055,52.83235463,0.514671203,B1440,NULL,BR,NULL
941762,East of England,NULL,Norfolk,610818,282990,52.40428964,1.097747669,B1077,NULL,BR,NULL
941764,East of England,NULL,Norfolk,604944,321311,52.75053762,1.035212886,B1145,NULL,BR,NULL
941766,East of England,NULL,Norfolk,571741,319458,52.74545913,0.54285407,B1145,NULL,BR,NULL
941768,East of England,NULL,Norfolk,609450,322841,52.76254559,1.10284938,B1145,NULL,BR,NULL
941770,East of England,NULL,Norfolk,617860,318918,52.72401264,1.224681564,B1149,NULL,BR,NULL
941772,East of England,NULL,Norfolk,585660,304490,52.60645949,0.74038318,B1077,NULL,BR,NULL
941774,East of England,NULL,Norfolk,613356,327151,52.79970422,1.163452139,B1149,NULL,BR,NULL
941776,East of England,NULL,Norfolk,623832,283685,52.40536431,1.289194831,C,NULL,CR,NULL
941778,East of England,NULL,Norfolk,610231,320780,52.74374244,1.113085876,C,NULL,CR,NULL
941780,East of England,NULL,Norfolk,608392,288367,52.4534883,1.065489163,U,NULL,UR,NULL
941782,East of England,NULL,Norfolk,606555,316130,52.70341622,1.055790402,C198,NULL,CR,NULL
941784,East of England,NULL,Norfolk,614869,338609,52.90194508,1.193403089,C308,NULL,CR,NULL
941786,East of England,NULL,Norfolk,635742,303320,52.57656161,1.477834206,C202,NULL,CR,NULL
941788,East of England,NULL,Norfolk,580179,322689,52.77172872,0.66949074,C,NULL,CR,NULL
