CP,region,code,Local_athority,S Ref E,S Ref N,S Ref Latitude,S Ref Longitude,Road,Road.Name,RCat,CP.Location
910004,North West,NULL,Knowsley,352100,398200,53.47833445,-2.723203908,U,NULL,UU,NULL
910005,East Midlands,NULL,Nottinghamshire,451147,336827,52.92642661,-1.240622565,C159,NULL,CU,NULL
910006,South West,NULL,Devon,259800,95826,50.745067,-3.9885331,B3215,NULL,BR,NULL
910009,Yorkshire and The Humber,NULL,Doncaster,455900,406100,53.54856901,-1.157798495,U,NULL,UU,NULL
910013,South West,NULL,Devon,302600,81984,50.62939312,-3.378470799,B3178,NULL,BU,NULL
910018,North West,NULL,Cumbria,360842,524160,54.6110731,-2.607795808,C3047,NULL,CR,NULL
910026,Wales,NULL,Bridgend,290181,186289,51.56475091,-3.585755757,C,NULL,CR,NULL
916464,South East,NULL,Oxfordshire,453400,223200,51.90479024,-1.225217232,B430,NULL,BR,NULL
919007,North West,NULL,Oldham,396581,408487,53.57297559,-2.053102464,B6197,NULL,BR,NULL
919009,North West,NULL,West Cheshire,350516,369450,53.21978625,-2.742563092,B5393,NULL,BR,NULL
919011,North West,NULL,East Cheshire,369156,350345,53.04947073,-2.461565813,B5071,NULL,BR,NULL
919017,West Midlands,NULL,Dudley,391701,290510,52.51241555,-2.12371507,B4176,NULL,BU,NULL
919019,West Midlands,NULL,Birmingham,412444,284131,52.45499445,-1.818304695,B4146,NULL,BU,NULL
919022,South West,NULL,Wiltshire,383901,167623,51.40740172,-2.23284479,B3109,NULL,BR,NULL
919028,South East,NULL,Hampshire,454610,104723,50.83946769,-1.225802475,B3334,NULL,BU,NULL
919032,South East,NULL,West Sussex,476821,120000,50.97430142,-0.907205615,B2146,NULL,BR,NULL
919035,South East,NULL,Buckinghamshire,496233,183054,51.53819644,-0.613855412,B416,NULL,BR,NULL
919054,Scotland,NULL,South Ayrshire,233825,620223,55.44758727,-4.628890513,B7024,NULL,BU,NULL
919059,North West,NULL,Cumbria,353435,560791,54.93960056,-2.728359912,B6413,NULL,BR,NULL
919068,Wales,NULL,Denbighshire,311290,357773,53.10974249,-3.326662052,B5105,NULL,BR,NULL
919072,East Midlands,NULL,Derbyshire,438012,373819,53.26001977,-1.431633892,B6050,NULL,BU,NULL
919078,West Midlands,NULL,"Herefordshire, County of",351117,238477,52.04252456,-2.714126617,B4399,NULL,BU,NULL
919084,South West,NULL,Gloucestershire,375000,193851,51.64289974,-2.362682643,B4060,NULL,BR,NULL
919088,Yorkshire and The Humber,NULL,"Kingston upon Hull, City of",506091,428808,53.74486343,-0.392798255,B1231,NULL,BU,NULL
919092,East of England,NULL,Cambridgeshire,539064,285353,52.4484466,0.044812369,B1050,NULL,BR,NULL
919093,East of England,NULL,Norfolk,611480,279718,52.3746621,1.10540026,B1077,NULL,BR,NULL
919094,East of England,NULL,Suffolk,627899,263650,52.22387492,1.33531762,B1119,NULL,BR,NULL
919099,South East,NULL,East Sussex,562944,132513,51.06882464,0.324276228,B2099,NULL,BR,NULL
919133,Scotland,NULL,Angus,348440,751510,56.65253706,-2.842530038,B9113,NULL,BR,NULL
919150,Scotland,NULL,City of Edinburgh,332128,669239,55.91144368,-3.087338908,B6415,NULL,BR,NULL
919153,Scotland,NULL,East Lothian,346630,668720,55.90861093,-2.855277417,B6355,NULL,BR,NULL
919196,Yorkshire and The Humber,NULL,East Riding of Yorkshire,482380,429060,53.7514084,-0.752158866,B1230,NULL,BR,NULL
919208,West Midlands,NULL,Shropshire,342750,322440,52.7964717,-2.850509083,B4397,NULL,BR,NULL
919233,Wales,NULL,Powys,303137,233971,51.99570889,-3.41222583,B4520,NULL,BR,NULL
919243,West Midlands,NULL,Warwickshire,431327,271776,52.34317297,-1.541585488,B4115,NULL,BR,NULL
919247,East Midlands,NULL,Northamptonshire,459864,242398,52.07671819,-1.127926276,B4525,NULL,BR,NULL
919258,South West,NULL,Somerset,363894,131225,51.07920443,-2.51679472,B3152,NULL,BR,NULL
919272,South East,NULL,Isle of Wight,445035,82640,50.64171809,-1.36446813,B3323,NULL,BR,NULL
919273,South East,NULL,Isle of Wight,446590,86320,50.67468734,-1.342016525,B3323,NULL,BR,NULL
919281,East of England,NULL,Norfolk,593771,320366,52.74617108,0.869337591,B1145,NULL,BR,NULL
919283,East of England,NULL,Norfolk,601291,316071,52.70486764,0.977957749,B1147,NULL,BR,NULL
919284,East of England,NULL,Norfolk,607868,337887,52.89821485,1.089013034,B1149,NULL,BR,NULL
919286,East of England,NULL,Cambridgeshire,508954,296042,52.55132998,-0.394527514,B671,NULL,BR,NULL
919287,East of England,NULL,Cambridgeshire,519850,276320,52.37182609,-0.240985443,B1090,NULL,BR,NULL
919288,East of England,NULL,Hertfordshire,541500,230300,51.95319701,0.057653526,B1038,NULL,BR,NULL
919289,East of England,NULL,Cambridgeshire,543927,249167,52.12208747,0.100878691,B1368,NULL,BR,NULL
919295,East of England,NULL,Suffolk,567750,272610,52.32594596,0.460147383,B1102,NULL,BR,NULL
919306,East of England,NULL,Norfolk,641404,297139,52.51862128,1.556733776,B1136,NULL,BR,NULL
919307,East of England,NULL,Suffolk,644800,264400,52.22335977,1.582806413,B1122,NULL,BR,NULL
919310,South East,NULL,Surrey,511280,143730,51.18198242,-0.409275608,B2126,NULL,BR,NULL
919333,North West,NULL,East Cheshire,367300,360650,53.14198849,-2.490304052,C501,NULL,CR,NULL
919334,North West,NULL,East Cheshire,367000,378450,53.30196504,-2.496637129,C,NULL,CR,NULL
919338,North West,NULL,East Cheshire,373250,355557,53.0965419,-2.400930582,U,NULL,UU,NULL
919341,North West,NULL,East Cheshire,377450,376600,53.28588631,-2.339703006,C110,NULL,CR,NULL
919345,North West,NULL,Salford,381647,398346,53.48151252,-2.278021861,C,NULL,CU,NULL
919346,North West,NULL,Manchester,382880,395140,53.45273765,-2.259266689,U,NULL,UU,NULL
919347,North West,NULL,East Cheshire,383372,360434,53.14079424,-2.250027682,C,NULL,CR,NULL
919348,North West,NULL,Manchester,383520,392163,53.42599969,-2.249472475,U,NULL,UU,NULL
919358,North West,NULL,Stockport,385105,387413,53.38335191,-2.225394089,U,NULL,UU,NULL
919367,West Midlands,NULL,Stoke-on-Trent,390600,343890,52.99225772,-2.141487189,U,NULL,UU,NULL
919374,North West,NULL,East Cheshire,392202,381798,53.3330349,-2.118558432,U,NULL,UR,NULL
919379,North West,NULL,Tameside,394221,394996,53.45169221,-2.088487218,U,NULL,UU,NULL
919389,Yorkshire and The Humber,NULL,Sheffield,437420,388090,53.38833291,-1.438828233,U,NULL,UU,NULL
919402,East Midlands,NULL,Leicester,458117,305637,52.6453685,-1.142482109,U,NULL,UU,NULL
919408,East Midlands,NULL,Leicester,462682,305749,52.64586796,-1.075000675,U,NULL,UU,NULL
919424,West Midlands,NULL,Sandwell,400620,287290,52.48353268,-1.992299077,U,NULL,UU,NULL
919431,West Midlands,NULL,Sandwell,403570,289160,52.50033316,-1.948840114,U,NULL,UU,NULL
919440,West Midlands,NULL,Solihull,412659,278881,52.40779213,-1.815337902,U,NULL,UU,NULL
919444,West Midlands,NULL,Solihull,417453,286165,52.47314387,-1.744488379,U,NULL,UU,NULL
919447,West Midlands,NULL,Coventry,431427,276034,52.38144604,-1.539720303,U,NULL,UU,NULL
919450,West Midlands,NULL,Coventry,436127,278998,52.40780265,-1.470355292,U,NULL,UU,NULL
919455,East Midlands,NULL,Northamptonshire,477970,263831,52.26712233,-0.858870055,U,NULL,UU,NULL
919472,South West,NULL,South Gloucestershire,360727,182841,51.5430916,-2.567702823,C,NULL,CU,NULL
919476,South West,NULL,South Gloucestershire,368399,174362,51.4673388,-2.456315735,C,NULL,CR,NULL
919484,South West,NULL,Wiltshire,389933,174035,51.46519581,-2.146307229,U,NULL,UU,NULL
919495,South East,NULL,Hampshire,417418,113847,50.92382132,-1.753557018,U,NULL,UR,NULL
919496,South West,NULL,Swindon,417400,183305,51.54837342,-1.75046081,U,NULL,UU,NULL
919518,South East,NULL,Hampshire,457153,114416,50.92637737,-1.188178076,C,NULL,CR,NULL
919521,South East,NULL,Hampshire,460138,149908,51.24518652,-1.139814464,C225,NULL,CU,NULL
919534,South East,NULL,Reading,470968,173199,51.45333659,-0.980045084,U,NULL,UU,NULL
919545,South East,NULL,Wokingham,478527,177292,51.48913527,-0.870372128,U,NULL,UR,NULL
919554,South East,NULL,Bracknell Forest,485933,169217,51.41547001,-0.765688364,U,NULL,UU,NULL
919557,South East,NULL,Buckinghamshire,486571,193895,51.63721086,-0.750459385,U,NULL,UU,NULL
919560,South East,NULL,Bracknell Forest,487453,166816,51.39365422,-0.744427782,C,NULL,CU,NULL
940006,Scotland,NULL,Highland,278576,881055,57.80258733,-4.044796648,B9174,NULL,BR,NULL
940009,Scotland,NULL,Moray,327000,845270,57.49175024,-3.219451734,B9102,NULL,BR,NULL
940052,Scotland,NULL,West Lothian,310461,667090,55.8885938,-3.433131595,B7031,NULL,BR,NULL
940087,North West,NULL,Blackpool,331706,436926,53.82409884,-3.038968312,B5124,NULL,BU,NULL
940099,Yorkshire and The Humber,NULL,North Yorkshire,401991,499175,54.38805875,-1.970847206,B6270,NULL,BR,NULL
940104,Yorkshire and The Humber,NULL,Leeds,420646,433551,53.7978608,-1.688038728,B6154,NULL,BU,NULL
940116,Yorkshire and The Humber,NULL,North Yorkshire,445363,457693,54.01326622,-1.309244017,B6265,NULL,BR,NULL
940143,West Midlands,NULL,Shropshire,357255,319460,52.77103182,-2.635013722,B5063,NULL,BR,NULL
940145,West Midlands,NULL,Telford and Wrekin,369652,310465,52.69101467,-2.450436102,B5061,NULL,BU,NULL
940168,East Midlands,NULL,Nottinghamshire,449546,359189,53.12757447,-1.261009355,B6023,NULL,BU,NULL
940179,Wales,NULL,Pembrokeshire,186283,213920,51.7830214,-5.09982328,B4341,NULL,BR,NULL
940214,West Midlands,NULL,Worcestershire,383753,271032,52.33712843,-2.239874114,B4193,NULL,BR,NULL
940219,South West,NULL,Gloucestershire,394830,219880,51.8774639,-2.07650774,U,NULL,UU,NULL
940238,South East,NULL,Oxfordshire,438817,227694,51.94639693,-1.436668321,B4022,NULL,BR,NULL
940254,Wales,NULL,"Rhondda, Cynon, Taff",303700,199400,51.68507398,-3.394392353,B4275,NULL,BU,NULL
940255,South West,NULL,Somerset,310240,127420,51.03910247,-3.281623216,B3227,NULL,BR,NULL
940260,South West,NULL,North Somerset,352050,171190,51.43766723,-2.691228015,B3129,NULL,BR,NULL
940274,South West,NULL,Wiltshire,407150,139180,51.15183641,-1.899152529,B3083,NULL,BR,NULL
940289,South East,NULL,Surrey,498950,140930,51.1590773,-0.586391928,B2130,NULL,BR,NULL
940295,South West,NULL,Cornwall excluding Isles of Scilly,209960,83102,50.61659111,-4.687691191,B3266,NULL,BR,NULL
940310,South East,NULL,Isle of Wight,459750,92525,50.72928136,-1.154792009,B3326,NULL,BU,NULL
940318,East Midlands,NULL,Lincolnshire,524120,310110,52.67449014,-0.165693268,B1040,NULL,BR,NULL
940322,East Midlands,NULL,Lincolnshire,535140,321600,52.77508443,0.001912459,B1168,NULL,BR,NULL
940336,East of England,NULL,Cambridgeshire,535810,277890,52.38221227,-0.006063555,B1086,NULL,BR,NULL
940373,South East,NULL,West Sussex,526641,116255,50.93185273,-0.19921804,B2118,NULL,BR,NULL
940389,South East,NULL,Kent,599886,133366,51.0648213,0.851375526,B2067,NULL,BR,NULL
940393,Scotland,NULL,Orkney Islands,348500,1001400,58.89682617,-2.895444303,B9052,NULL,BR,NULL
940395,Scotland,NULL,Comhairle nan Eilean Siar,149860,943130,58.30526927,-6.271557373,B895,NULL,BR,NULL
940407,Scotland,NULL,Highland,261150,859830,57.60703301,-4.325503393,B9169,NULL,BR,NULL
940411,Scotland,NULL,Highland,300725,821950,57.27736416,-3.648169611,B970,NULL,BR,NULL
940414,Scotland,NULL,Moray,311850,865200,57.66801401,-3.47934553,B9089,NULL,BR,NULL
940479,Scotland,NULL,East Ayrshire,239950,649800,55.7151248,-4.549317258,B706,NULL,BR,NULL
940532,North East,NULL,Northumberland,412906,610118,55.38486522,-1.797846248,B6341,NULL,BR,NULL
940554,North West,NULL,Cumbria,330325,506700,54.45089611,-3.076079791,B5343,NULL,BR,NULL
940583,Yorkshire and The Humber,NULL,North Yorkshire,428988,504156,54.43200679,-1.554649887,B1263,NULL,BR,NULL
940587,North West,NULL,Blackpool,333837,441294,53.86362789,-3.007543226,B5268,NULL,BU,NULL
940588,North West,NULL,Sefton,335208,414477,53.62280451,-2.981068107,B5243,NULL,BR,NULL
940598,North West,NULL,Lancashire,383154,437146,53.8303007,-2.257431808,B6248,NULL,BR,NULL
940637,Wales,NULL,Gwynedd,244772,337988,52.91682197,-4.310139054,B4354,NULL,BR,NULL
940639,Wales,NULL,Isle of Anglesey,249410,374825,53.24901643,-4.258479958,B5420,NULL,BR,NULL
940656,Wales,NULL,Powys,323793,319768,52.77010818,-3.130982813,B4393,NULL,BR,NULL
940667,West Midlands,NULL,Shropshire,354899,309272,52.67926009,-2.668529661,B4380,NULL,BR,NULL
940674,North West,NULL,West Cheshire,370090,372020,53.2443533,-2.449665025,B5082,NULL,BR,NULL
940685,West Midlands,NULL,Staffordshire,403700,333910,52.9026176,-1.946437292,B5027,NULL,BR,NULL
940691,East Midlands,NULL,Derbyshire,418442,371819,53.24307925,-1.725110791,B6465,NULL,BR,NULL
940692,East Midlands,NULL,Derbyshire,427659,378209,53.30011772,-1.586446554,B6054,NULL,BR,NULL
940715,Wales,NULL,Pembrokeshire,202212,225719,51.89483133,-4.875962549,B4329,NULL,BR,NULL
940742,Wales,NULL,Monmouthshire,329209,213350,51.81428014,-3.028321059,B4246,NULL,BU,NULL
940743,West Midlands,NULL,"Herefordshire, County of",331695,245756,52.10590034,-2.998719141,B4352,NULL,BR,NULL
940747,Wales,NULL,Monmouthshire,350730,210900,51.7945699,-2.715813351,B4293,NULL,BR,NULL
940749,West Midlands,NULL,"Herefordshire, County of",356825,236318,52.02359005,-2.630636494,B4224,NULL,BR,NULL
940753,West Midlands,NULL,"Herefordshire, County of",367723,261176,52.24781128,-2.474186018,B4203,NULL,BR,NULL
940755,South West,NULL,Gloucestershire,372458,200030,51.69833574,-2.399906453,B4066,NULL,BR,NULL
940765,West Midlands,NULL,Staffordshire,387842,290973,52.51650463,-2.180594006,B4176,NULL,BR,NULL
940788,East Midlands,NULL,Leicestershire,450645,293577,52.53770827,-1.254746097,B4114,NULL,BR,NULL
940801,South West,NULL,Devon,269536,124856,51.00825126,-3.860984486,B3226,NULL,BR,NULL
940814,South West,NULL,Somerset,337130,106634,50.85578833,-2.894556398,B3162,NULL,BR,NULL
940817,South West,NULL,Somerset,353240,145640,51.20804392,-2.670748635,B3139,NULL,BR,NULL
940827,South West,NULL,Dorset,382405,117310,50.9549491,-2.251872531,B3091,NULL,BR,NULL
940858,South West,NULL,Cornwall excluding Isles of Scilly,159200,34652,50.16288711,-5.372980662,B3302,NULL,BR,NULL
940872,South West,NULL,Dorset,345615,97445,50.77402549,-2.772658592,B3162,NULL,BR,NULL
940881,Yorkshire and The Humber,NULL,East Riding of Yorkshire,504650,457236,54.00056223,-0.404949673,B1249,NULL,BR,NULL
940897,East of England,NULL,Cambridgeshire,526695,305219,52.62994977,-0.129507408,B1443,NULL,BR,NULL
940912,East of England,NULL,Norfolk,635937,332912,52.84200347,1.501924804,C643,NULL,CR,NULL
940922,East of England,NULL,Essex,544214,200757,51.6870573,0.084827294,B1393,NULL,BR,NULL
940923,East of England,NULL,Essex,547066,206453,51.7374964,0.128456125,B1393,NULL,BR,NULL
940933,East of England,NULL,Essex,573890,226110,51.906388,0.526417706,B1053,NULL,BR,NULL
940935,East of England,NULL,Essex,580805,204445,51.7096028,0.615535801,B1010,NULL,BR,NULL
940945,East of England,NULL,Suffolk,617790,277900,52.35587358,1.196766103,B1118,NULL,BR,NULL
940962,South East,NULL,West Sussex,507260,125140,51.01564685,-0.472285389,B2133,NULL,BR,NULL
940973,South East,NULL,Kent,556590,171740,51.42304504,0.250807903,B260,NULL,BR,NULL
940978,South East,NULL,East Sussex,571250,117790,50.93413608,0.435773922,B2096,NULL,BR,NULL
940982,East of England,NULL,Essex,577830,185860,51.54361812,0.563094151,B1014,NULL,BU,NULL
940986,South East,NULL,East Sussex,590129,119619,50.94465534,0.70510015,B2089,NULL,BR,NULL
940988,South East,NULL,Kent,632400,166113,51.34655451,1.335823559,B2190,NULL,BR,NULL
940989,Scotland,NULL,Orkney Islands,344855,1010550,58.97853228,-2.960970254,C41,NULL,CR,NULL
941018,Scotland,NULL,Highland,266270,844390,57.46999664,-4.231399788,U,NULL,UU,NULL
941031,Scotland,NULL,Moray,320897,865094,57.66874433,-3.327702585,C24E,NULL,CR,NULL
941057,Scotland,NULL,Aberdeen City,393920,806346,57.14795922,-2.102117494,U,NULL,UU,NULL
941064,Scotland,NULL,Argyll & Bute,189913,739877,56.50391836,-5.415351446,C26,NULL,CR,NULL
941085,Scotland,NULL,Dundee City,338072,733587,56.49028542,-3.007310227,C,NULL,CU,NULL
941122,Scotland,NULL,Renfrewshire,243050,664700,55.84988712,-4.508607899,U,NULL,UU,NULL
941125,Scotland,NULL,Renfrewshire,245340,661900,55.82549272,-4.470471959,U,NULL,UU,NULL
941138,Scotland,NULL,Glasgow City,255799,666317,55.86838548,-4.306015823,U,NULL,UU,NULL
941144,Scotland,NULL,Glasgow City,256730,663289,55.84147873,-4.289551192,U,NULL,UU,NULL
941149,Scotland,NULL,Glasgow City,259230,664100,55.84949603,-4.250082626,U,NULL,UU,NULL
941170,Scotland,NULL,North Lanarkshire,275070,674090,55.9435649,-4.001871281,U,NULL,UU,NULL
941244,North East,NULL,Northumberland,419795,610476,55.38785416,-1.689088795,C93,NULL,CR,NULL
941288,North West,NULL,Cumbria,366460,520820,54.58146414,-2.520434058,C3059,NULL,CR,NULL
941308,North East,NULL,Gateshead,417939,561731,54.94991246,-1.721452686,U,NULL,UU,NULL
941314,North East,NULL,Newcastle upon Tyne,421709,566066,54.98871801,-1.662267045,U,NULL,UU,NULL
941320,North East,NULL,Durham,424930,529471,54.65971756,-1.615069275,C129,NULL,CR,NULL
941324,North East,NULL,Gateshead,425966,560322,54.93689977,-1.596258476,U,NULL,UU,NULL
941325,North East,NULL,Newcastle upon Tyne,425256,564844,54.97757077,-1.606943569,U,NULL,UU,NULL
941336,North East,NULL,North Tyneside,428667,569934,55.02312514,-1.55314559,U,NULL,UU,NULL
941339,North East,NULL,North Tyneside,429178,569901,55.02279902,-1.545156533,U,NULL,UU,NULL
941341,North East,NULL,Sunderland,430617,556412,54.90150208,-1.524083847,U,NULL,UU,NULL
941351,North East,NULL,Sunderland,440868,553102,54.87102837,-1.364706201,U,NULL,UU,NULL
941361,North East,NULL,Middlesbrough,448862,519832,54.57135629,-1.245721022,U,NULL,UU,NULL
941366,North East,NULL,Middlesbrough,451859,518881,54.56251299,-1.199535952,U,NULL,UU,NULL
941379,North West,NULL,Sefton,329608,408497,53.56834002,-3.064367381,U,NULL,UU,NULL
941382,North West,NULL,Sefton,332690,416646,53.64197871,-3.019601388,U,NULL,UU,NULL
941385,North West,NULL,Lancashire,335083,436092,53.81703743,-2.987499056,C278,NULL,CR,NULL
941389,North West,NULL,Lancashire,337944,410704,53.58922838,-2.938955944,C108,NULL,CR,NULL
941393,North West,NULL,Lancashire,338350,443390,53.88302044,-2.939352271,U,NULL,UR,NULL
941401,North West,NULL,Lancashire,346620,430360,53.76683846,-2.811291346,C299,NULL,CR,NULL
941404,North West,NULL,Cumbria,346450,492020,54.32093869,-2.824772806,U,NULL,UR,NULL
941406,North West,NULL,Lancashire,348592,464306,54.07210749,-2.78709714,U,NULL,UR,NULL
941407,North West,NULL,Lancashire,349510,406180,53.5498128,-2.763513799,U,NULL,UU,NULL
941411,North West,NULL,Lancashire,351083,457035,54.0070074,-2.747859678,C449,NULL,CR,NULL
941414,North West,NULL,Lancashire,353202,472992,54.15060704,-2.718002713,U,NULL,UR,NULL
941418,North West,NULL,Wigan,356259,412950,53.61126647,-2.662610801,U,NULL,UR,NULL
941422,North West,NULL,Lancashire,359750,413010,53.61208634,-2.609856174,U,NULL,UR,NULL
941427,North West,NULL,Bolton,365134,409600,53.58182485,-2.528098046,U,NULL,UU,NULL
941439,North West,NULL,Bolton,371962,407689,53.56505966,-2.424797242,U,NULL,UU,NULL
941447,North West,NULL,Lancashire,373226,444056,53.89198643,-2.408874596,U,NULL,UR,NULL
941449,North West,NULL,Bolton,374811,408962,53.57664662,-2.381886489,U,NULL,UU,NULL
941460,North West,NULL,Manchester,383451,402770,53.52133704,-2.251073517,U,NULL,UU,NULL
941469,North West,NULL,Oldham,390260,403593,53.52890621,-2.148401786,U,NULL,UU,NULL
941472,Yorkshire and The Humber,NULL,North Yorkshire,390620,458900,54.02600979,-2.144673675,C393,NULL,CR,NULL
941477,North West,NULL,Oldham,392371,403367,53.52691019,-2.116551031,U,NULL,UU,NULL
941484,North West,NULL,Oldham,398663,406527,53.5553684,-2.02165295,U,NULL,UU,NULL
941497,Yorkshire and The Humber,NULL,North Yorkshire,410418,486146,54.27086479,-1.841532266,C35,NULL,CR,NULL
941500,Yorkshire and The Humber,NULL,Kirklees,412125,417843,53.65694349,-1.818011268,U,NULL,UU,NULL
941503,Yorkshire and The Humber,NULL,Kirklees,413483,418148,53.65965192,-1.797450297,U,NULL,UU,NULL
941513,Yorkshire and The Humber,NULL,Kirklees,415603,417718,53.65572855,-1.7653921,U,NULL,UU,NULL
941516,Yorkshire and The Humber,NULL,Bradford,416361,446337,53.91293004,-1.752415154,U,NULL,UU,NULL
941519,Yorkshire and The Humber,NULL,Leeds,418880,444030,53.89211035,-1.714209195,U,NULL,UR,NULL
941525,Yorkshire and The Humber,NULL,Bradford,419101,432780,53.79098984,-1.711541704,U,NULL,UU,NULL
941526,Yorkshire and The Humber,NULL,North Yorkshire,419989,459590,54.0319158,-1.696321195,C256,NULL,CR,NULL
941532,Yorkshire and The Humber,NULL,Leeds,422773,435453,53.81486729,-1.655607787,U,NULL,UU,NULL
941540,Yorkshire and The Humber,NULL,Leeds,427524,432427,53.78744177,-1.583721254,U,NULL,UU,NULL
941541,Yorkshire and The Humber,NULL,North Yorkshire,427940,493089,54.33260804,-1.571840306,C114,NULL,CR,NULL
941546,Yorkshire and The Humber,NULL,North Yorkshire,429877,451450,53.95828293,-1.546162423,C243,NULL,CR,NULL
941551,Yorkshire and The Humber,NULL,Leeds,433600,433154,53.79362038,-1.491424319,U,NULL,UU,NULL
941560,Yorkshire and The Humber,NULL,Leeds,437116,436028,53.81921239,-1.437707854,U,NULL,UU,NULL
941573,Yorkshire and The Humber,NULL,Doncaster,453269,402007,53.51205618,-1.198197485,C22,NULL,CR,NULL
941575,Yorkshire and The Humber,NULL,North Yorkshire,453700,424500,53.71416456,-1.187829811,C333,NULL,CR,NULL
941580,Yorkshire and The Humber,NULL,York,456805,451341,53.95505349,-1.1358392,U,NULL,UU,NULL
941583,Yorkshire and The Humber,NULL,Doncaster,458879,404320,53.53224676,-1.11317792,U,NULL,UU,NULL
941587,Yorkshire and The Humber,NULL,York,459655,447376,53.91910143,-1.093186823,U,NULL,UR,NULL
941592,Yorkshire and The Humber,NULL,East Riding of Yorkshire,471127,455717,53.99260922,-0.916606151,U,NULL,UR,NULL
941593,Yorkshire and The Humber,NULL,North Lincolnshire,476600,405100,53.53697557,-0.8456878,C204,NULL,CR,NULL
941599,Yorkshire and The Humber,NULL,North Yorkshire,479480,471088,54.12951056,-0.785206349,C351,NULL,CR,NULL
941606,Yorkshire and The Humber,NULL,North Lincolnshire,490200,423900,53.70375043,-0.635103794,C110,NULL,CR,NULL
941607,Yorkshire and The Humber,NULL,East Riding of Yorkshire,494355,427275,53.73334242,-0.571156347,U,NULL,UR,NULL
941614,Wales,NULL,Isle of Anglesey,236245,382770,53.31646637,-4.459700701,U,NULL,UR,NULL
941626,Wales,NULL,Conwy,277160,377310,53.27849481,-3.843789852,U,NULL,UU,NULL
941632,Wales,NULL,Denbighshire,312832,358024,53.11225263,-3.303701459,U,NULL,UR,NULL
941639,Wales,NULL,Flintshire,320100,372400,53.24258835,-3.198745572,C,NULL,CR,NULL
941650,West Midlands,NULL,Shropshire,330440,333550,52.89487854,-3.035421346,B5009,NULL,BR,NULL
941652,North West,NULL,West Cheshire,330256,377220,53.2873403,-3.047648213,U,NULL,UU,NULL
941663,North West,NULL,Liverpool,333500,391371,53.41493656,-3.001974109,U,NULL,UU,NULL
941670,North West,NULL,Wirral,335136,380143,53.31423112,-2.975056706,U,NULL,UU,NULL
941676,North West,NULL,Liverpool,336175,395325,53.45080303,-2.962537276,U,NULL,UU,NULL
941677,North West,NULL,Liverpool,336741,397153,53.46730003,-2.954384263,U,NULL,UU,NULL
941678,North West,NULL,Sefton,336285,398152,53.47622316,-2.961455229,U,NULL,UU,NULL
941686,North West,NULL,Liverpool,339075,385845,53.36594647,-2.917040817,U,NULL,UU,NULL
941697,North West,NULL,Liverpool,342832,388511,53.39032784,-2.861071436,U,NULL,UU,NULL
941698,North West,NULL,Knowsley,342680,397990,53.47550368,-2.865085547,U,NULL,UU,NULL
941706,Wales,NULL,Wrexham,346168,335990,52.91861844,-2.802065798,C,NULL,CR,NULL
941711,North West,NULL,St. Helens,348124,396075,53.45885813,-2.782755005,U,NULL,UU,NULL
941741,West Midlands,NULL,Shropshire,379810,308200,52.67112947,-2.30001141,U,NULL,UR,NULL
941752,West Midlands,NULL,Staffordshire,383430,310649,52.69326844,-2.246602526,C6,NULL,CR,NULL
941760,North West,NULL,Manchester,385912,398092,53.47936184,-2.213743442,U,NULL,UU,NULL
941767,West Midlands,NULL,Stoke-on-Trent,387090,344700,52.99946507,-2.193810563,U,NULL,UU,NULL
941777,North West,NULL,Manchester,388385,397676,53.47568358,-2.176465422,U,NULL,UU,NULL
941781,West Midlands,NULL,Stoke-on-Trent,389176,348058,53.02969715,-2.162842652,U,NULL,UU,NULL
941785,North West,NULL,Stockport,389631,385650,53.36761429,-2.157292528,U,NULL,UU,NULL
941787,West Midlands,NULL,Wolverhampton,390280,302000,52.61568457,-2.14499416,U,NULL,UU,NULL
941792,West Midlands,NULL,Staffordshire,391947,321429,52.79037107,-2.120855896,U,NULL,UU,NULL
941796,North West,NULL,Stockport,391242,392110,53.42570974,-2.133263566,C,NULL,CU,NULL
941800,North West,NULL,Stockport,392173,387356,53.38299311,-2.119133449,U,NULL,UU,NULL
941805,North West,NULL,Tameside,393555,398107,53.47964739,-2.098580771,U,NULL,UU,NULL
941815,West Midlands,NULL,Staffordshire,397937,356560,53.10622952,-2.032268276,U,NULL,UU,NULL
941836,West Midlands,NULL,Staffordshire,416837,315063,52.73294702,-1.752096139,C502,NULL,CR,NULL
941839,East Midlands,NULL,Derbyshire,419570,363380,53.16718317,-1.708722615,C216,NULL,CR,NULL
941850,East Midlands,NULL,Derbyshire,426900,331370,52.87912984,-1.601738212,U,NULL,UR,NULL
941859,Yorkshire and The Humber,NULL,Sheffield,431073,387064,53.3795211,-1.534356636,U,NULL,UU,NULL
941863,Yorkshire and The Humber,NULL,Sheffield,433855,387895,53.38681998,-1.492448942,U,NULL,UU,NULL
941916,East Midlands,NULL,Leicestershire,454708,306856,52.6566796,-1.192658823,U,NULL,UU,NULL
941942,East Midlands,NULL,Nottinghamshire,461602,331531,52.87773009,-1.086123668,C60,NULL,CR,NULL
941956,East Midlands,NULL,Nottinghamshire,473750,372100,53.2408153,-0.896377329,C24,NULL,CR,NULL
941971,East Midlands,NULL,Lincolnshire,494770,360280,53.13126854,-0.585004758,C1,NULL,CR,NULL
941999,Wales,NULL,Carmarthenshire,239654,220198,51.8572715,-4.329775387,U,NULL,UU,NULL
