year,CP,estimation_method,estimation_method_detailed,fd_pc,fd_2WMV,fd_Car,fd_Bus,fd_lgv,fd_HGVR2,fd_HGVR3,fd_HGVR4,fd_hgva3,fd_hgva5,fd_hgva6,fd_hgv,fd_all_mv
2016,51,Estimated,Estimated using previous year's AADF on this link,233,101,559,28,400,42,20.91,19.07,5.95,13.94,20.92,42,1130
2016,52,Estimated,Estimated using previous year's AADF on this link,85,83,652,9,234,11,10.29,4.94,3.43,5.33,9.83,11,990
2016,53,Counted,Manual count,229,85,696,6,376,20,19.42,18.27,1,12.94,20.66,21,1184
2016,54,Estimated,Estimated using previous year's AADF on this link,60,57,355,6,266,35,16.75,6.04,4.37,9.74,20.46,35,720
2016,55,Estimated,Estimated using previous year's AADF on this link,33,22,172,22.74,159,16,6.13,3.53,1.29,1.92,3.21,16,368
2016,60,Estimated,Estimated using previous year's AADF on this link,45,133,13128,104,2770,400,71,131,101,164,146,1013,17148
2016,61,Counted,Automatic counter,68,47,6427,140,1070,119,23,23,6,17,22,209,7894
2016,62,Counted,Automatic counter,67.15,200,47190,236,9788,1664,353,327,265,1233,2511,6353,63768
2016,63,Counted,Automatic counter,32.52,222,52476,251,9025,1800,309,323,315,2245,2706,7698,69671
2016,64,Estimated,Estimated using previous year's AADF on this link,683,101,13161,389,2076,144,19,4,8,11,23.56,186,15913
2016,501,Counted,Manual count,23.54,387,91662,402,15563,2193,361,325,648,3254,2791,9572,117586
2016,502,Counted,Manual count,17.33,135,54374,165,10346,1203,388,354,195,547,2626,5312,70332
2016,503,Estimated,Estimated using previous year's AADF on this link,12.29,212,50821,148,11404,1334,300,332,213,1173,820,4173,66757
2016,505,Estimated,Estimated using previous year's AADF on this link,83,57,9892,131,1061,57,5,4,2,2,3,73,11214
2016,506,Estimated,Estimated using previous year's AADF on this link,16,34,1701,20,523,43,3,5,3,10,10,73,2350
2016,508,Counted,Manual count,23,130,4469,39,786,81,21,15,20,69,85,291,5715
2016,509,Counted,Manual count,10.73,87,18870,114,4228,654,145,114,146,1416,1387,3862,27161
2016,510,Estimated,Estimated using previous year's AADF on this link,32,179,6002,37,1003,138,25,18,22,50,56,309,7531
2016,512,Estimated,Estimated using previous year's AADF on this link,9.82,60,2436,16,808,159,16,14,14,35,35,273,3592
2016,514,Estimated,Estimated using previous year's AADF on this link,17,114,7596,47,1341,136,58,28,11,34,56,324,9422
2016,515,Estimated,Estimated using previous year's AADF on this link,8.48,21,9074,50,2422,236,97,67,33,136,154,722,12290
2016,516,Estimated,Estimated using previous year's AADF on this link,9,110,5161,45,908,151,37,27,9,42,23,289,6513
2016,520,Counted,Manual count,61,33,5501,76,1023,83,13,21,5,6,1,129,6763
2016,521,Estimated,Estimated using previous year's AADF on this link,37,197,11335,97,1660,146,29,70,15,31,25,315,13605
2016,522,Estimated,Estimated using previous year's AADF on this link,22,65,16200,180,3192,179,32,43,22,14,30,320,19957
2016,524,Counted,Manual count,29.59,100,24837,197,4333,537,85,104,132,512,407,1776,31242
2016,525,Counted,Manual count,33.21,199,41592,216,6778,742,137,167,172,590,533,2343,51128
2016,526,Counted,Manual count,27.61,125,36957,181,6473,603,143,122,162,701,605,2336,46072
2016,527,Counted,Manual count,27.02,176,26749,36,4422,469,117,298,66,623,374,1947,33330
2016,528,Estimated,Estimated using previous year's AADF on this link,4,38,3328,15,643,64,28,4,11,17,47,171,4196
2016,530,Counted,Automatic counter,2,76,18106,193,4070,402,122,155,50,256,161,1146,23590
2016,532,Estimated,Estimated using previous year's AADF on this link,5,180,20139,78,4176,422,106,55,67,276,354,1279,25853
2016,533,Estimated,Estimated using previous year's AADF on this link,5,71,5725,62,1430,144,35,14,17,16,31,257,7544
2016,534,Estimated,Estimated using previous year's AADF on this link,1,24,1172,12,386,18,12,9,1,4,1,45,1640
2016,535,Estimated,Estimated using previous year's AADF on this link,2,58,3546,57,833,126,15,13,12,15,61,240,4734
2016,536,Estimated,Estimated using previous year's AADF on this link,3,36,4529,40,1165,161,33,25,39,75,148,482,6252
2016,538,Estimated,Estimated using previous year's AADF on this link,29.82,40,3431,31,594,101,17,8,7,34,49,216,4312
2016,539,Estimated,Estimated using previous year's AADF on this link,16.32,29,4520,24,1089,127,25,24,10,30,65,281,5943
2016,540,Counted,Manual count,18.03,89,34142,295,7243,650,121,211,84,322,284,1672,43442
2016,541,Estimated,Estimated using previous year's AADF on this link,59.65,375,61847,379,10037,1251,282,422,101,547,481,3084,75720
2016,544,Counted,Manual count,33,51,5839,62,933,64,14,15,1,16,18,128,7013
2016,545,Estimated,Estimated using previous year's AADF on this link,13.07,89,1112,24,228,57,23,13,21,37,72,223,1676
2016,546,Counted,Manual count,19,69,6140,49,1325,118,16,15,14,14,22,200,7783
2016,547,Counted,Manual count,6,148,9344,53,1875,279,62,34,75,174,250,874,12293
2016,548,Counted,Automatic counter,3,38,6491,36,1586,259,72,47,105,123,171,777,8928
2016,550,Estimated,Estimated using previous year's AADF on this link,18,67,8365,136,1780,193,37,80,28,35,92,464,10813
2016,552,Estimated,Estimated using previous year's AADF on this link,1,43,1984,65,367,133,15,7,3,5,26,189,2649
2016,553,Estimated,Estimated using previous year's AADF on this link,85,31,9867,173,1716,119,26,17,36,22,28,247,12035
2016,554,Estimated,Estimated using previous year's AADF on this link,2,42,3501,87,774,101,58,16,25,38,91,329,4733
2016,556,Estimated,Estimated using previous year's AADF on this link,4,20,2737,29,685,70,24,4,2,21,31,152,3622
2016,557,Estimated,Estimated using previous year's AADF on this link,293.75,491,4024,46,1009,136,38,25,8,17,48,272,5842
2016,558,Estimated,Estimated using previous year's AADF on this link,16,73,6513,47,1007,68,24,86,33,66,106,384,8024
2016,559,Estimated,Estimated using previous year's AADF on this link,2,485,56132,177,9781,1511,212,614,97,241,1083,3757,70332
2016,560,Counted,Manual count,67,261,34133,573,5085,378,51,66,56,105,69,724,40776
2016,563,Estimated,Estimated using previous year's AADF on this link,17,105,3694,60,847,89,7,19,8,3,1,128,4834
2016,564,Counted,Manual count,10,90,11679,60,2008,253,35,30,36,85,53,492,14328
2016,569,Counted,Manual count,16,347,31426,201,5146,362,51,45,16,109,107,690,37810
2016,571,Estimated,Estimated using previous year's AADF on this link,101,90,10083,121,1489,126,25,45,12,17,14,240,12024
2016,574,Estimated,Estimated using previous year's AADF on this link,3,10,1320,19,326,52,9,9,2,3,3,78,1752
2016,575,Estimated,Estimated using previous year's AADF on this link,3,47,6693,77,1187,86,22,8,14,3,3,136,8140
2016,576,Estimated,Estimated using previous year's AADF on this link,5,53,3116,39,783,83,46,64,2,10,22,227,4217
2016,577,Estimated,Estimated using previous year's AADF on this link,9,50,2333,97,351,47,4,2,4.76,4.23,6.78,53,2885
2016,578,Estimated,Estimated using previous year's AADF on this link,4,17,2308,45,400,89,16,10,4,13,71,203,2972
2016,579,Estimated,Estimated using previous year's AADF on this link,23,23,3263,85,750,106,32,24,3,15,9,189,4310
2016,581,Estimated,Estimated using previous year's AADF on this link,16,65,16764,347,1724,136,17,12,11,11,12,198,19098
2016,582,Estimated,Estimated using previous year's AADF on this link,5,12,1769,24,464,45,16,8,1,2,17,89,2358
2016,583,Estimated,Estimated using previous year's AADF on this link,4,6,2229,49,652,89,24,3,3,4,9,132,3068
2016,584,Estimated,Estimated using previous year's AADF on this link,6,53,1147,4,362,58,8,3,8,6,15,98,1664
2016,586,Estimated,Estimated using previous year's AADF on this link,3,13,1603,33,486,52,8,1,1,1,5.96,63,2198
2016,587,Estimated,Estimated using previous year's AADF on this link,3,5,778,3,165,16,6,9,4,10,16,60,1010
2016,588,Estimated,Estimated using previous year's AADF on this link,5,8,1611,13,130,55,29,21,2,5,6,118,1880
2016,589,Estimated,Estimated using previous year's AADF on this link,11,13,2438,38,686,82,5,5,5,1,2,100,3275
2016,590,Estimated,Estimated using previous year's AADF on this link,30,27,7771,106,1786,130,19,25,15,2,3,194,9884
2016,592,Estimated,Estimated using previous year's AADF on this link,7,26,2255,17,581,36,13,5,16,1,1,72,2950
2016,594,Counted,Manual count,18,47,6600,120,1165,138,35,42,20,30,30,294,8227
2016,595,Estimated,Estimated using previous year's AADF on this link,45,97,4378,35,784,96,16,11,10,15,30,178,5472
2016,599,Estimated,Estimated using previous year's AADF on this link,37,103,7787,242,1088,95,14,23,6,1,6,145,9365
2016,600,Estimated,Estimated using previous year's AADF on this link,18,124,8771,32,1375,137,40,95,21,48,95,437,10739
2016,602,Estimated,Estimated using previous year's AADF on this link,14,132,946,5,183,19,3,5,6,2.79,12.34,33,1298
2016,604,Estimated,Estimated using previous year's AADF on this link,53,64,11716,96,1546,85,29,9,4,7,5,140,13561
2016,605,Estimated,Estimated using previous year's AADF on this link,6,105,11350,156,2454,194,55,74,21,84,63,491,14555
2016,606,Counted,Manual count,98,50,10667,102,1184,49,16,16,4,2,6,93,12096
2016,607,Estimated,Estimated using previous year's AADF on this link,10,64,1029,9,304,46,4,5,1,5,1,57,1463
2016,612,Estimated,Estimated using previous year's AADF on this link,3,28,8486,53,1836,137,30,19,5,36,12,240,10643
2016,617,Counted,Manual count,52,154,23178,351,3975,332,72,48,15,45,30,542,28200
2016,619,Estimated,Estimated using previous year's AADF on this link,16,74,16395,120,3023,282,74,100,30,56,75,617,20229
2016,620,Estimated,Estimated using previous year's AADF on this link,12,53,1798,1,622,27,2,11.98,1,1,8.72,30,2503
2016,622,Estimated,Estimated using previous year's AADF on this link,2,13,5890,41,965,57,10,3,1,2,1,73,6982
2016,626,Counted,Manual count,3,36,5181,19,766,46,7,27,7,1,3,91,6093
2016,627,Estimated,Estimated using previous year's AADF on this link,3,11,1929,110,625,67,29,9,4,7,26,141,2815
2016,629,Estimated,Estimated using previous year's AADF on this link,17,16,1604,20,385,40,3,3.78,3,3.34,2.27,45,2070
2016,630,Estimated,Estimated using previous year's AADF on this link,19,56,2800,17,523,57,2,3,2,1,4.13,65,3461
2016,631,Estimated,Estimated using previous year's AADF on this link,52,48,1540,28,339,23,7,3,1,2,2,38,1993
2016,633,Estimated,Estimated using previous year's AADF on this link,6,50,9406,105,949,52,8,3,7,3.3,8.26,69,10579
2016,638,Counted,Manual count,142,37,6808,237,959,117,16,4,12,9,10,167,8209
2016,639,Estimated,Estimated using previous year's AADF on this link,27,71,11067,352,2149,163,67,39,23,44,95,430,14069
2016,640,Estimated,Estimated using previous year's AADF on this link,16,18,3055,84,377,36,1,1,2,2,7.23,41,3575
2016,642,Estimated,Estimated using previous year's AADF on this link,246,130,27150,62,2378,212,42,28,12,20,18,332,30053
2016,644,Estimated,Estimated using previous year's AADF on this link,5,61,2271,3,391,48,9,27,1,11,14,110,2837
2016,646,Estimated,Estimated using previous year's AADF on this link,78,55,3887,10,610,51,7,13,3.32,2,3,75,4637
2016,647,Estimated,Estimated using previous year's AADF on this link,9,102,14209,48,3244,318,79,151,29,84,135,796,18398
2016,648,Estimated,Estimated using previous year's AADF on this link,12,33,5259,69,907,28,9,9.93,5.45,1,8.36,38,6305
2016,650,Estimated,Estimated using previous year's AADF on this link,2,107,5943,68,1114,58,21,14,7,8,14,122,7355
2016,651,Estimated,Estimated using previous year's AADF on this link,11.97,49,1768,5,386,47,9,6,5,7,1,75,2285
2016,653,Estimated,Estimated using previous year's AADF on this link,67,70,16328,60,1739,75,10,8,2,4,1,99,18295
2016,655,Estimated,Estimated using previous year's AADF on this link,1,32,2502,33,521,127,75,158,35,24,120,539,3628
2016,656,Counted,Manual count,24,92,5204,66,831,49,12,3,2,5,2,73,6266
2016,661,Estimated,Estimated using previous year's AADF on this link,33,55,14714,164,3078,483,51,30,11,82,69,726,18736
2016,664,Estimated,Estimated using previous year's AADF on this link,52,185,21078,89,4076,518,136,189,89,333,331,1595,27023
2016,666,Counted,Manual count,3,45,8297,111,1644,113,31,76,20,21,18,279,10376
2016,667,Estimated,Estimated using previous year's AADF on this link,22,90,8958,50,1219,187,22,13,13,32,56,323,10640
2016,668,Estimated,Estimated using previous year's AADF on this link,16,51,5362,255,811,35,1,6,2,6.86,10.2,43,6522
2016,700,Estimated,Estimated using previous year's AADF on this link,46.76,181,54328,285,12382,1786,608,289,312,525,2719,6240,73416
2016,701,Counted,Automatic counter,201.15,348,85775,857,11244,2467,405,548,286,890,963,5559,103783
2016,702,Counted,Manual count,18.46,43,23925,214,4124,440,90,216,33,142,464,1385,29691
2016,703,Counted,Manual count,10.93,71,31917,107,6695,928,200,211,114,695,1743,3890,42680
2016,704,Estimated,Estimated using previous year's AADF on this link,14.64,131,32185,113,6421,915,256,175,87,664,1000,3097,41948
2016,706,Counted,Manual count,25.15,132,26976,240,3912,915,135,119,132,562,1067,2930,34190
2016,707,Counted,Manual count,74.48,129,27524,174,4185,751,119,78,133,457,871,2408,34420
2016,708,Estimated,Estimated using previous year's AADF on this link,6.88,137,5129,60,1409,354,60,44,90,262,644,1455,8190
2016,717,Estimated,Estimated using previous year's AADF on this link,29.97,137,47600,339,9826,2633,428,698,344,1141,1099,6344,64247
2016,720,Estimated,Estimated using previous year's AADF on this link,5,237,7103,55,925,206,304,183,34,131,583,1441,9762
2016,721,Estimated,Estimated using previous year's AADF on this link,1,46,5473,50,1423,153,120,98,15,69,86,541,7534
2016,722,Estimated,Estimated using previous year's AADF on this link,1,67,7765,135,1972,384,94,58,63,161,511,1271,11210
2016,724,Estimated,Estimated using previous year's AADF on this link,9.49,56,19120,221,4795,980,156,41,143,504,951,2774,26966
2016,725,Estimated,Estimated using previous year's AADF on this link,9,165,8078,273,1971,331,61,22,7,33,44,498,10985
2016,728,Estimated,Estimated using previous year's AADF on this link,6,77,8621,142,2617,398,142,69,18,55,90,771,12228
2016,729,Estimated,Estimated using previous year's AADF on this link,5,74,2830,75,616,95,30,16,10,48,59,258,3854
2016,730,Estimated,Estimated using previous year's AADF on this link,12,13,5859,148,1135,218,50,72,6,20,44,411,7566
2016,731,Estimated,Estimated using previous year's AADF on this link,6,62,13767,275,2301,407,93,117,33,34,51,735,17139
2016,732,Estimated,Estimated using previous year's AADF on this link,7.48,5,3409,42,1065,225,61,27,24,151,130,620,5139
2016,740,Estimated,Estimated using previous year's AADF on this link,5,24,4532,81,1275,227,61,62,26,198,274,847,6758
2016,749,Counted,Automatic counter,18.74,63,23387,213,3285,579,117,105,149,314,406,1669,28616
2016,752,Estimated,Estimated using previous year's AADF on this link,6.9,21,1662,71,629,127,25,187,23,87,110,559,2941
2016,754,Estimated,Estimated using previous year's AADF on this link,158,48,6077,160,989,122,9,6,4,7,3,151,7425
2016,758,Estimated,Estimated using previous year's AADF on this link,9,99,2350,77,737,132,65,31,6,27,66,328,3592
2016,759,Counted,Automatic counter,8,91,3889,148,1184,195,48,47,8,20,93,411,5725
2016,760,Estimated,Estimated using previous year's AADF on this link,99,357,4339,104,480,87,16,13,12,30,62,219,5499
2016,761,Estimated,Estimated using previous year's AADF on this link,5,120,2422,80,377,64,6,6,2,3,14,95,3095
2016,763,Estimated,Estimated using previous year's AADF on this link,27,136,23688,159,3841,451,77,56,23,44,48,701,28524
2016,764,Estimated,Estimated using previous year's AADF on this link,2.99,48,2853,107,636,123,50,7,19,41,121,362,4006
2016,765,Estimated,Estimated using previous year's AADF on this link,1,31,4451,131,1233,208,137,183,25,40,138,731,6578
2016,766,Estimated,Estimated using previous year's AADF on this link,11.81,35,2131,53,454,70,19,9,8,42,65,214,2887
2016,768,Estimated,Estimated using previous year's AADF on this link,8,22,3028,64,573,66,28,10,7,20,41,172,3858
2016,771,Estimated,Estimated using previous year's AADF on this link,2,43,4123,86,1154,171,77,83,23,35,97,486,5891
2016,773,Estimated,Estimated using previous year's AADF on this link,44.99,148,12907,216,2462,586,138,124,32,214,268,1362,17094
2016,774,Estimated,Estimated using previous year's AADF on this link,8,187,23452,171,4008,926,194,143,26,379,1097,2766,30583
2016,781,Estimated,Estimated using previous year's AADF on this link,15,100,10637,145,1884,588,213,58,30,251,710,1851,14618
2016,782,Estimated,Estimated using previous year's AADF on this link,10,190,12824,162,2088,485,67,60,34,134,203,983,16247
2016,784,Estimated,Estimated using previous year's AADF on this link,6,48,9396,107,1763,445,62,156,40,134,285,1122,12436
2016,786,Estimated,Estimated using previous year's AADF on this link,10.33,32,3336,59,1035,148,37,21,16,42,69,332,4793
2016,787,Estimated,Estimated using previous year's AADF on this link,2,52,5593,166,1228,167,40,39,14,67,140,466,7507
2016,788,Estimated,Estimated using previous year's AADF on this link,6.38,15,3179,31,894,210,50,34,15,104,160,574,4692
2016,791,Estimated,Estimated using previous year's AADF on this link,8.56,16,3088,27,537,208,30,60,17,57,122,494,4162
2016,792,Estimated,Estimated using previous year's AADF on this link,7.85,38,1153,16,252,60,9,6,1,4,6,86,1545
2016,793,Estimated,Estimated using previous year's AADF on this link,97,157,6854,280,2228,198,64,20,10,22,92,404,9924
2016,797,Estimated,Estimated using previous year's AADF on this link,17.35,57,5575,98,1438,398,104,71,15,183,251,1020,8189
2016,798,Estimated,Estimated using previous year's AADF on this link,25,84,28409,135,6929,1020,318,130,128,392,829,2817,38373
2016,810,Counted,Manual count,135,27,4881,67,819,94,23,133,19,22,25,316,6111
2016,1000,Estimated,Estimated using previous year's AADF on this link,86.15,293,68980,923,13880,2414,454,592,192,922,1423,5997,90073
2016,1001,Counted,Manual count,36.7,299,125349,475,22494,3264,578,653,273,1256,2179,8204,156821
2016,1004,Estimated,Estimated using previous year's AADF on this link,37.15,164,67893,411,15753,2513,469,776,213,1112,2907,7991,92213
2016,1005,Estimated,Estimated using previous year's AADF on this link,1,14,4337,95,1378,216,150,196,70,125,286,1043,6868
2016,1006,Estimated,Estimated using previous year's AADF on this link,143,63,13268,721,2233,213,43,26,3,7,14,307,16592
2016,1007,Estimated,Estimated using previous year's AADF on this link,16,24,6531,141,824,126,8,6,6,8,6,160,7679
2016,1008,Estimated,Estimated using previous year's AADF on this link,45,34,8585,69,1055,123,12,3,4,17,69,228,9970
2016,1011,Estimated,Estimated using previous year's AADF on this link,82,59,12458,119,2219,305,38,19,4,7,13,386,15240
2016,1012,Estimated,Estimated using previous year's AADF on this link,89,143,24008,974,3363,265,46,76,22,23,12,443,28931
2016,1013,Estimated,Estimated using previous year's AADF on this link,11,41,2815,59,557,83,29,19,9,6,14,161,3632
2016,1014,Estimated,Estimated using previous year's AADF on this link,14,45,13285,381,1738,265,54,44,7,12,21,404,15852
2016,1015,Estimated,Estimated using previous year's AADF on this link,207,171,15999,469,3487,244,41,30,8,14,2,339,20465
2016,1016,Estimated,Estimated using previous year's AADF on this link,4,30,3691,107,1108,171,56,112,21,53,126,539,5475
2016,1017,Estimated,Estimated using previous year's AADF on this link,13,46,8687,175,1214,189,32,63,28,49,95,456,10578
2016,1019,Estimated,Estimated using previous year's AADF on this link,4,6,4880,66,1599,250,44,56,20,39,67,477,7028
2016,1020,Estimated,Estimated using previous year's AADF on this link,1,13,2671,5,1477,264,63,121,19,65,149,681,4846
2016,1021,Estimated,Estimated using previous year's AADF on this link,1,13,14597,530,2166,262,30,16,9,1,4,323,17629
2016,1023,Estimated,Estimated using previous year's AADF on this link,1,7,4755,83,1280,114,56,18,22,11,23,244,6369
2016,1024,Estimated,Estimated using previous year's AADF on this link,21,36,2472,65,744,114,86,7,17,3,20,248,3565
2016,1025,Estimated,Estimated using previous year's AADF on this link,5,84,19175,156,5599,684,383,469,118,92,975,2722,27735
2016,1028,Estimated,Estimated using previous year's AADF on this link,2,8,1608,40,344,46,8,6,34,5.45,7.48,93,2095
2016,1029,Estimated,Estimated using previous year's AADF on this link,13,15,6141,437,1247,140,42,21,6,6,9,224,8064
2016,1030,Estimated,Estimated using previous year's AADF on this link,5,7,1715,9,428,24,10,4,6,4,13,62,2222
2016,1031,Estimated,Estimated using previous year's AADF on this link,189,60,13401,443,1639,254,50,95,8,5,6,418,15961
2016,1033,Estimated,Estimated using previous year's AADF on this link,73,94,17227,384,2501,168,37,22,7,12,47,293,20499
2016,1034,Estimated,Estimated using previous year's AADF on this link,4,152,2592,67,608,76,28,27,16,8,13,167,3585
2016,1036,Estimated,Estimated using previous year's AADF on this link,6,63,7658,111,2457,304,88,89,44,139,166,830,11120
2016,1037,Estimated,Estimated using previous year's AADF on this link,5,43,16488,510,3094,399,73,23,4,12,14,525,20660
2016,1039,Estimated,Estimated using previous year's AADF on this link,72,615,67706,444,10872,1281,349,478,82,325,2971,5485,85121
2016,1040,Estimated,Estimated using previous year's AADF on this link,9,117,3116,35,501,93,15,4,11,5,8,137,3906
2016,1041,Estimated,Estimated using previous year's AADF on this link,162,161,18001,1097,3357,400,154,158,67,319,406,1503,24119
2016,1042,Estimated,Estimated using previous year's AADF on this link,318,174,13746,1191,2121,261,50,9,8,7,8,343,17574
2016,1043,Estimated,Estimated using previous year's AADF on this link,1,53,3640,83,695,158,28,22,6,57,146,418,4888
2016,1044,Estimated,Estimated using previous year's AADF on this link,3.37,32,4795,105,1355,190,54,30,12,44,94,424,6711
2016,1045,Estimated,Estimated using previous year's AADF on this link,40,116,17269,154,3192,391,121,111,53,137,167,979,21711
2016,1046,Counted,Manual count,6,78,18911,270,2699,218,57,101,59,132,145,712,22670
2016,1047,Estimated,Estimated using previous year's AADF on this link,16,65,13746,218,2396,249,67,84,19,32,48,498,16922
2016,1048,Estimated,Estimated using previous year's AADF on this link,11.16,58,3530,76,854,99,23,9,16,3,14,164,4681
2016,1049,Estimated,Estimated using previous year's AADF on this link,3,25,3206,33,366,183,27,7,10.13,9,16,242,3872
2016,1050,Estimated,Estimated using previous year's AADF on this link,3,19,1134,25,192,34,4,9,14,7,23,91,1462
2016,1051,Estimated,Estimated using previous year's AADF on this link,29,84,6534,115,1276,138,45,15,21,13,21,253,8263
2016,1053,Estimated,Estimated using previous year's AADF on this link,7.74,48,2121,25,490,166,25,19,15.52,54,124,387,3070
2016,1054,Estimated,Estimated using previous year's AADF on this link,44,37,11656,248,1919,325,98,45,20,29,46,564,14424
2016,1055,Estimated,Estimated using previous year's AADF on this link,3.9,16,1936,43,707,121,58,16,16,84,153,447,3149
2016,1056,Estimated,Estimated using previous year's AADF on this link,9,24,4019,54,1212,128,46,17,9,14,302,516,5825
2016,1058,Estimated,Estimated using previous year's AADF on this link,2,14,806,15,300,31,25,10,12,5,20,103,1238
2016,1059,Estimated,Estimated using previous year's AADF on this link,2,12,1423,19,256,45,5,1,4,8,5,68,1779
2016,1062,Estimated,Estimated using previous year's AADF on this link,2.57,3,2228,48,658,110,41,24,8,34,52,269,3206
2016,1063,Estimated,Estimated using previous year's AADF on this link,68,98,16280,196,2798,399,80,61,22,52,82,697,20069
2016,1064,Estimated,Estimated using previous year's AADF on this link,1.27,3,738,12,169,19,9,1,6,12,36,83,1006
2016,1065,Estimated,Estimated using previous year's AADF on this link,1.79,9.08,432,4,123,24,13,1,2,5,10,56,615
2016,1066,Estimated,Estimated using previous year's AADF on this link,5,110,6306,87,1005,155,36,18,14,14,8,244,7753
2016,1067,Estimated,Estimated using previous year's AADF on this link,14,25,4076,63,767,72,8,12.2,2,1,1,84,5015
2016,1068,Estimated,Estimated using previous year's AADF on this link,3,19,2080,18,763,134,74,115,4,60,187,574,3454
2016,1069,Estimated,Estimated using previous year's AADF on this link,12,13.97,1287,1,406,27,14,8,2,6,10,68,1762
2016,1071,Estimated,Estimated using previous year's AADF on this link,20,27,1975,24,427,38,9,1,6,7,6.63,62,2515
2016,1072,Estimated,Estimated using previous year's AADF on this link,12.21,12,2560,40,736,151,102,16,3,17,29,317,3665
2016,1074,Estimated,Estimated using previous year's AADF on this link,3.15,23,890,12,233,44,24,7,14,23,45,157,1315
2016,1075,Estimated,Estimated using previous year's AADF on this link,4.67,4,1151,48,234,26,1,4,1,1,3.49,33,1471
2016,1076,Estimated,Estimated using previous year's AADF on this link,3.77,2,825,35,259,43,5,6,9,16,35,113,1235
2016,1077,Estimated,Estimated using previous year's AADF on this link,7,26,1996,38,366,59,11,20,2,1,15,108,2533
2016,1078,Estimated,Estimated using previous year's AADF on this link,2,3,582,28,224,20,7,15,2.26,4.47,1,43,879
2016,1079,Estimated,Estimated using previous year's AADF on this link,11,4,1423,38,298,35,5,4,32,1,8.73,76,1838
2016,1082,Estimated,Estimated using previous year's AADF on this link,13.16,42,4299,86,1275,219,24,132,18,16,27,436,6138
2016,1084,Estimated,Estimated using previous year's AADF on this link,22,48,17796,904,2954,413,45,133,23,10,17,641,22344
2016,1086,Estimated,Estimated using previous year's AADF on this link,23,42,19686,247,4618,735,133,93,41,134,157,1292,25886
2016,1088,Estimated,Estimated using previous year's AADF on this link,1,34,5646,97,1271,190,27,36,12,16,27,307,7355
2016,1089,Estimated,Estimated using previous year's AADF on this link,85,44,14926,309,3288,426,56,50,9,20,30,591,19157
2016,1090,Estimated,Estimated using previous year's AADF on this link,362,16,4683,1848,432,44,7,9,2,2,2,65,7044
2016,1091,Counted,Automatic counter,28,17,16196,69,2725,306,60,59,22,27,27,501,19508
2016,1092,Estimated,Estimated using previous year's AADF on this link,123,24,8683,676,1202,155,24,7,5,10,14,215,10800
2016,1093,Estimated,Estimated using previous year's AADF on this link,41,59,13347,569,1667,277,25,9,5,8,20,344,15986
2016,1094,Estimated,Estimated using previous year's AADF on this link,109,109,34325,164,5325,262,72,64,9,20,43,471,40394
2016,1095,Estimated,Estimated using previous year's AADF on this link,8,77,14555,847,1056,87,47,21,4,8,13,179,16713
2016,1097,Estimated,Estimated using previous year's AADF on this link,38,42,11471,433,3280,451,108,72,16,12,50,710,15936
2016,1098,Estimated,Estimated using previous year's AADF on this link,14,25,8255,40,1743,143,53,37,5,15,30,283,10347
2016,1099,Estimated,Estimated using previous year's AADF on this link,11,6,7807,108,932,113,12,12,8,1,1,148,9001
2016,1100,Estimated,Estimated using previous year's AADF on this link,2,15,3799,93,721,168,23,4,4,1,2,202,4831
2016,1101,Estimated,Estimated using previous year's AADF on this link,3,4,1087,6,247,32,5,10,9,8,15,80,1423
2016,1102,Estimated,Estimated using previous year's AADF on this link,8,32,8353,26,1873,222,111,137,54,181,179,885,11169
2016,1103,Estimated,Estimated using previous year's AADF on this link,7,34,5577,73,1026,118,17,19,2,1,1,157,6866
2016,1104,Estimated,Estimated using previous year's AADF on this link,17,42,14319,259,2855,320,59,53,11,48,45,536,18010
2016,1106,Estimated,Estimated using previous year's AADF on this link,89,59,7382,23,1160,157,38,21,2,3,6,226,8851
2016,1108,Estimated,Estimated using previous year's AADF on this link,23,53,11044,152,1820,182,46,57,6,16,9,316,13385
2016,1109,Estimated,Estimated using previous year's AADF on this link,4,34,5206,83,1274,201,73,55,24,17,62,432,7028
2016,1110,Estimated,Estimated using previous year's AADF on this link,3,19,9502,170,1555,210,99,129,3,10,33,485,11731
2016,1111,Estimated,Estimated using previous year's AADF on this link,9,11,6237,244,1154,124,20,12,1,2,8,167,7812
2016,1113,Estimated,Estimated using previous year's AADF on this link,3,8,1188,29,449,103,33,18,6,15,30,204,1879
2016,1114,Estimated,Estimated using previous year's AADF on this link,5,13,1101,37,187,63,8,5,1,6,17,100,1438
2016,1115,Estimated,Estimated using previous year's AADF on this link,17,57,947,10,161,13,4,5,10,2.66,14,45,1221
2016,1116,Estimated,Estimated using previous year's AADF on this link,2,17,698,15,136,7,3,3,5,1,7,26,891
2016,1117,Estimated,Estimated using previous year's AADF on this link,2,21,1448,35,294,42,12,16,1,4,11.39,75,1872
2016,1118,Estimated,Estimated using previous year's AADF on this link,6,35,762,5,297,18,14,1,6,1,11,52,1151
2016,1119,Estimated,Estimated using previous year's AADF on this link,4,2,548,10,81,14,5,4.34,2.99,1.81,1.36,19,660
2016,1120,Estimated,Estimated using previous year's AADF on this link,13,58,1053,31,146,28,9,9,4,6.04,8.59,51,1338
2016,1121,Estimated,Estimated using previous year's AADF on this link,1,25,1522,49,494,68,37,4,13,8,9,138,2229
