year,CP,estimation_method,estimation_method_detailed,fd_pc,fd_2WMV,fd_Car,fd_Bus,fd_lgv,fd_HGVR2,fd_HGVR3,fd_HGVR4,fd_hgva3,fd_hgva5,fd_hgva6,fd_hgv,fd_all_mv
2016,73580,Estimated,Estimated using previous year's AADF on this link,98.91,1183,113866,371,22543,2806,571,707,231,706,1321,6341,144304
2016,73581,Counted,Manual count,245,246,17069,177,2757,159,36,29,23,9,14,270,20519
2016,73582,Estimated,Estimated using previous year's AADF on this link,15.38,445,42109,157,7491,994,245,201,104,245,895,2685,52887
2016,73583,Estimated,Estimated using previous year's AADF on this link,4,72,4991,48,1599,164,56,47,7,9,17,302,7012
2016,73584,Counted,Dependent on a neighbouring counted link,64,121,14301,77,1640,143,24,22,24,15,17,245,16383
2016,73585,Estimated,Estimated using previous year's AADF on this link,64,288,24501,154,7151,526,66,105,57,34,32,819,32913
2016,73586,Counted,Automatic counter,2,154,11056,62,2183,315,49,64,68,88,273,857,14312
2016,73587,Counted,Automatic counter,421,37,6710,60,1139,54,17,5,6.49,4.1,1,76,8022
2016,73588,Estimated,Estimated using previous year's AADF on this link,5.99,268,41571,201,6391,1812,223,144,341,605,3344,6469,54899
2016,73589,Estimated,Estimated using previous year's AADF on this link,15,128,9007,96,1888,166,41,29,15,52,53,356,11475
2016,73590,Counted,Dependent on a neighbouring counted link,13,129,8308,35,1449,185,57,126,18,87,92,564,10486
2016,73591,Estimated,Estimated using previous year's AADF on this link,27.69,41,5533,18,1239,154,26,28,3,24,49,284,7114
2016,73592,Estimated,Estimated using previous year's AADF on this link,26.31,20,3677,21,445,65,10,5,2,4,5,91,4255
2016,73593,Estimated,Estimated using previous year's AADF on this link,3,60,6014,44,1339,106,31,40,2,3,5,187,7643
2016,73594,Estimated,Estimated using previous year's AADF on this link,4,135,8979,55,2907,475,165,137,30,164,330,1301,13377
2016,73595,Estimated,Estimated using previous year's AADF on this link,3,657,48399,117,10247,1129,128,203,139,201,217,2016,61437
2016,73596,Counted,Manual count,2,448,48555,75,9188,953,159,352,117,239,180,1999,60267
2016,73597,Counted,Dependent on a neighbouring counted link,2,448,48555,75,9188,953,159,352,117,239,180,1999,60267
2016,73598,Counted,Dependent on a neighbouring counted link,2,448,48555,75,9188,953,159,352,117,239,180,1999,60267
2016,73599,Counted,Dependent on a neighbouring counted link,2,448,48555,75,9188,953,159,352,117,239,180,1999,60267
2016,73600,Counted,Manual count,3,555,62713,101,9249,1509,106,262,101,170,296,2444,75062
2016,73601,Estimated,Estimated using previous year's AADF on this link,10,227,26427,66,5738,556,99,71,133,76,90,1026,33484
2016,73602,Estimated,Estimated using previous year's AADF on this link,10,227,26427,66,5738,556,99,71,133,76,90,1026,33484
2016,73603,Estimated,Estimated from nearby links,36,234,13846,12,2041,184,20,61,29,24,20,339,16472
2016,73604,Estimated,Estimated using previous year's AADF on this link,18.76,307,27939,29,4400,904,114,151,131,107,415,1822,34497
2016,73605,Estimated,Estimated using previous year's AADF on this link,261,110,9519,113,1294,180,32,59,2,19,25,317,11352
2016,73606,Estimated,Estimated using previous year's AADF on this link,85,202,12666,220,2133,361,101,110,10,38,53,672,15893
2016,73607,Counted,Dependent on a neighbouring counted link,241,159,12759,81,1468,79,10,15,3,3,1,111,14578
2016,73608,Counted,Dependent on a neighbouring counted link,57.72,950,111290,474,20904,2407,610,668,655,2067,1436,7843,141462
2016,73609,Counted,Dependent on a neighbouring counted link,57.72,950,111290,474,20904,2407,610,668,655,2067,1436,7843,141462
2016,73610,Estimated,Estimated using previous year's AADF on this link,30,472,27371,115,5200,665,125,119,25,104,146,1184,34341
2016,73611,Counted,Dependent on a neighbouring counted link,34.15,529,95036,236,18295,2353,319,575,135,1051,2201,6634,120730
2016,73613,Estimated,Estimated using previous year's AADF on this link,93,43,9817,95,1133,70,19,9,4.01,2,1,100,11188
2016,73614,Estimated,Estimated using previous year's AADF on this link,38.31,390,40857,150,6520,1349,259,549,126,1779,2500,6563,54480
2016,73615,Counted,Dependent on a neighbouring counted link,867,670,55137,348,8777,678,244,304,46,438,1016,2725,67657
2016,73616,Estimated,Estimated using previous year's AADF on this link,1084,807,14496,515,4053,426,46,36,17,18,42,585,20456
2016,73617,Estimated,Estimated using previous year's AADF on this link,899,1641,16874,1501,3770,685,78,87,49,49,115,1063,24849
2016,73618,Estimated,Estimated using previous year's AADF on this link,77.35,720,67774,700,17165,2468,231,718,205,401,1182,5204,91563
2016,73619,Estimated,Estimated using previous year's AADF on this link,78,129,10559,89,1363,194,54,170,27.59,21,41,480,12620
2016,73620,Estimated,Estimated using previous year's AADF on this link,16,42,4876,44,1385,200,38,148,10,28,104,528,6875
2016,73621,Estimated,Estimated using previous year's AADF on this link,10,65,15008,16,3247,442,121,277,41,269,548,1698,20034
2016,73622,Estimated,Estimated using previous year's AADF on this link,3,111,39105,121,8539,1008,172,217,111,609,2055,4171,52048
2016,73623,Estimated,Estimated using previous year's AADF on this link,1,3,2047,18,657,100,28,66,5,31,100,329,3053
2016,73624,Estimated,Estimated using previous year's AADF on this link,1,3,2047,18,657,100,28,66,5,31,100,329,3053
2016,73625,Estimated,Estimated using previous year's AADF on this link,1,3,2047,18,657,100,28,66,5,31,100,329,3053
2016,73626,Counted,Dependent on a neighbouring counted link,18,97,20854,129,3833,424,136,143,55,263,285,1306,26219
2016,73627,Estimated,Estimated using previous year's AADF on this link,8,43,3590,1,846,155,102,240,26,195,210,928,5408
